,BOOKED
17908,0
22391,0
54110,0
36510,0
2416,0
21335,0
4827,0
18954,0
13880,0
8963,0
48599,0
15919,0
28857,0
2001,0
38818,0
6091,0
51640,0
51335,0
32528,0
4540,0
22121,0
20561,0
12298,0
28325,0
16259,0
20052,0
7156,0
2136,0
46052,0
37562,0
24225,0
5619,0
22496,0
46145,0
49747,0
12587,0
53432,0
44031,0
22369,0
42291,0
23615,0
52154,0
19406,1
28825,0
33519,0
22278,0
22908,0
50407,0
43758,1
5743,0
29720,0
11341,0
29718,0
8144,0
31102,0
50314,0
35293,0
30764,0
53955,0
20246,0
29146,1
8882,0
44682,0
25416,0
6569,0
6819,0
27072,0
15947,0
5701,0
42997,0
29022,0
15708,0
43713,0
4067,0
7860,0
17454,0
13870,1
51395,0
11106,0
23905,1
25475,1
39665,1
55,0
7129,0
19502,0
20908,0
43577,1
41777,0
6414,0
30976,0
3333,0
34887,0
33335,0
45565,1
20983,0
32951,0
13816,1
43322,0
18566,0
23200,0
1533,0
16246,0
5580,0
19524,0
52188,0
38662,0
30056,0
14878,1
24514,0
37543,1
41905,0
44786,0
10150,0
52816,0
37833,0
8856,0
14268,0
53397,0
14004,0
21287,1
6844,0
45192,1
33066,0
5596,0
53757,0
25612,0
22503,0
1584,1
31768,0
23385,0
35685,0
50850,0
25289,1
37306,0
36557,0
23792,1
34956,1
47167,0
22070,0
40473,0
35915,0
16577,0
44055,0
30581,0
21716,1
714,0
20806,0
41179,0
13036,0
8634,0
18340,0
53324,1
30923,1
15733,0
41457,0
50070,1
43893,0
28559,0
35419,0
29922,0
28860,1
29599,0
9745,0
40998,0
15153,0
22773,0
41919,0
36084,0
7889,0
981,0
2525,0
34600,0
7941,0
29305,0
24898,0
51798,0
50522,0
7130,0
40025,0
9401,0
52520,1
48083,0
13466,0
4538,1
49065,1
45493,0
34822,0
52912,0
18750,0
48133,0
5992,0
22366,0
28950,1
11543,0
44779,0
5527,0
45414,0
18748,0
41441,0
42662,0
2611,0
4812,0
53722,0
28714,0
39581,0
37165,0
15257,0
46059,0
14509,0
13268,0
9063,0
17129,1
38488,0
2952,0
41407,0
15431,0
30452,0
5157,0
33064,0
45986,0
7727,0
17154,0
25161,0
2041,0
27216,0
52666,0
20454,0
25305,0
26998,1
27505,0
45816,0
20418,0
43930,0
23937,0
53440,0
508,0
53824,1
15815,0
42231,0
36013,0
26896,0
45734,0
34456,0
37418,0
17645,0
21660,0
1105,0
27361,0
8356,0
23127,0
20138,1
25058,0
50955,1
52484,0
3629,0
16599,0
27111,0
54929,0
10781,0
13565,0
47932,0
3943,0
24710,0
24370,0
13430,1
9241,0
22401,1
6867,0
48882,0
19479,0
26525,1
35563,0
23267,0
11817,0
43703,0
46949,0
464,0
1783,0
55207,0
10027,0
9698,0
5082,0
43504,0
9509,0
16146,0
33529,0
8514,0
35669,0
27834,0
12227,0
45286,0
46461,0
5486,0
13448,1
33404,0
31387,0
1924,0
13030,0
6578,0
3378,0
44123,0
48897,0
43374,0
54640,0
46217,0
35211,0
21885,0
27867,0
29929,1
11695,0
17924,0
24742,0
44692,0
53090,0
20411,0
52588,0
23112,0
21671,0
16389,0
2447,0
26360,0
